keys,zh_CN
ui.title.start,开始游戏
ui.title.load,继续游戏
ui.title.quit,退出游戏
ui.title.language.current_zh,Language: 中文
ui.title.language.current_en,Language: English
ui.save.slot_short,存档%d
ui.common.player_name_default,主人公
narrative.workshop.hunger.01,@有点饿了。点个外卖吧。
narrative.workshop.hunger.02,@附近的外卖都吃腻了。虽说一共也没几家。
narrative.workshop.hunger.03,@虽然不太健康，但饭还是要吃的。
narrative.workshop.hunger.04,@按时吃饭……好好照顾自己。
narrative.workshop.hunger.05,@……
narrative.workshop.hunger.06,#如果那个人在的话……
narrative.workshop.hunger.07,现在可以使用手机点外卖了。
narrative.delivery.arrival.01,@外卖到了。去门口拿一下吧。
narrative.delivery.cooking.01,@……
narrative.delivery.cooking.02,@不好吃。
narrative.delivery.cooking.03,@是不是也该买点食材自己做饭了呢……
narrative.delivery.cooking.04,@以前都是和那个人一起去买的啊。
narrative.delivery.cooking.05,@那个总是会顺手买一堆零食的人。
narrative.delivery.cooking.06,@我不要去外面。用手机买就行了。
narrative.delivery.cooking.07,现在可以使用手机买食材了。厨房已解锁。
narrative.food.arrival.01,@食材到了。去门口拿一下吧。
narrative.kitchen.afternoon.01,@还有时间，做点什么呢……
narrative.kitchen.afternoon.02,@总之先回工作间吧。
narrative.photo.memory.01,拿起相框，里面是一张两个人的合照。
narrative.photo.memory.02,像是在游乐园的缆车上拍的，一个人笑得很开心，另一个人笑得有些拘谨。
narrative.photo.memory.03,@……当时没想到这张照片会留下来。如果更认真一点拍就好了。
narrative.photo.memory.04,@……嗯。
narrative.photo.memory.05,@那些在这里留下的记忆，还好好地保存着。
narrative.photo.memory.06,@那个曾经逃避离别，害怕面对孤身一人的我。
narrative.photo.memory.07,@一定很难过吧。
narrative.photo.memory.08,@但是，现在已经没事了。
common.not_meal_time,现在不是饭点。
room.door.unlock_prompt,要现在打开门吗？
photo.frame.choice_prompt,要查看相框吗？
phone.prompt,要用手机做什么？
phone.choice.delivery,点外卖（-%d）
phone.choice.buy_ingredients,买食材（-%d）
phone.delivery.ordered,外卖点好了，在送到之前稍微等一下吧。
phone.food.ordered,食材订好了，在送到之前稍微等一下吧。
phone.delivery.at_door,外卖已经在门口了。
phone.delivery.in_transit,外卖正在路上。
phone.delivery.unfinished,之前的外卖还没吃。
phone.delivery.no_money,没钱点外卖了
phone.food.at_door,食材已经在门口了。
phone.food.in_transit,食材正在路上。
phone.food.already_bought,今天已经买过食材了。
phone.food.no_money,没钱买食材了。
delivery.pickup.obtained,获得外卖。
food.pickup.obtained,收到食材，现在有 %d 顿食材。
meal.eaten,吃完饭了。
meal.cooked,获得自己做的饭。
food.supply.empty,没有食材了。
food.supply.count,里面还有 %d 顿食材。
dining_table.prompt,餐桌。要吃饭吗？
choice.yes,要
choice.no,不要
stove.label,灶台。
stove.cook_prompt,灶台。要做饭吗？
stove.off_meal_time,@虽然有食材，但还没到吃饭的时间。
stove.wait_until,等%s再来做吧。
meal.use.need_table,需要到餐桌旁才能吃。
ending.door.prompt,要离开这里吗？
ending.door.ready_prompt,准备好告别这段回忆了吗？
ending.choice.yes,是
ending.choice.no,不是
ending.display_text,the end
intro.awake.01,睁开眼，发现自己回到了以前住的出租屋。
intro.awake.02,虽然已经搬走，却一点也不意外，只觉得很熟悉。
intro.controls.01,操作方法：WASD 移动，E 调查/开门，ESC 菜单/取消，F 坐下/起身，F11 切换全屏/窗口。
time.period.morning,早晨
time.period.noon,中午
time.period.afternoon,下午
time.period.evening,傍晚
time.period.night,夜晚
time.label.format,第 %d 天 / %s
time.next_meal.tomorrow,明天%s
stat.hunger.full,不饿
stat.hunger.hungry,饿了
stat.hunger.very_hungry,很饿
stat.sanity.optimistic,乐观
stat.sanity.normal,普通
stat.sanity.gloomy,忧郁
stat.hidden,？？？
food.meals.plenty,够用
food.meals.low,不多了
food.meals.almost_gone,快没了
food.meals.none,没有了
ui.panel.items,物品
ui.panel.save,存档
ui.panel.title_menu,主菜单
ui.panel.return_title,返回主菜单
ui.panel.return_title_detail,返回主菜单（当前未保存进度将丢失）
ui.panel.pick_save_slot,选择一个档案槽
ui.panel.save_slot,档案 %d
ui.panel.save_slot_named,存档 %d
ui.panel.empty_slot,空档案
ui.panel.confirm_overwrite,确定要覆盖该存档吗？
ui.panel.unknown_item,未知物品
ui.stat.time,时间
ui.stat.hunger,饥饿度
ui.stat.sanity,状态
ui.stat.money,金钱
common.unnamed_item,未命名物品
common.inspect_suffix,%s。
common.investigate.default,这里没有什么特别的。
common.item_obtained,获得%s。
common.sofa.default,沙发。
common.unknown_recipe,未知料理
scene.dining_table.label,餐桌。
scene.living.room_door.blocked.01,这个房间的门紧闭着。
scene.living.room_door.blocked.02,以前的我一直不敢面对这个房间。
scene.living.room_door.blocked_repeat,这个房间的门紧闭着。
scene.living.tv,电视。
scene.living.mirror,镜子。
scene.living.coat_rack,衣架。
scene.living.shoe_cabinet,鞋柜。
scene.living.sofa,刚好够两个人坐的沙发。
scene.living.chair,椅子。
scene.bedroom.cabinet,柜子里放着一些床上用品。
scene.bedroom.bed,一张大床。
scene.bedroom.nightstand,床头柜。
scene.bedroom.bay_window,这里有一个飘窗。向左看可以看到阳台。
scene.kitchen.fridge,冰箱。里面放着一些食材和各种各样的调料。
scene.kitchen.cabinet,柜子。里面放着两人份的餐具和各种厨具。
scene.kitchen.sink,水池。
scene.room.boxes,堆着几个半空的纸箱子。里面放着一些杂物。
scene.room.desk.intro.01,一张空荡荡的桌子。还维持着那个人搬走时的样子。
scene.room.desk.intro.02,桌子上摆着一个相框。上面有一层薄薄的灰尘。
scene.room.desk.repeat,一张空荡荡的桌子。
scene.room.balcony_door,通往阳台的门。
scene.room.chair,椅子。
scene.workshop.bookshelf,放着各种各样的书。
scene.workshop.window,窗户。外面什么都看不见。
scene.workshop.desk,一张大办公桌。不管是学习还是娱乐都很合适。
scene.workshop.wardrobe,放着各种各样的衣服。
scene.workshop.chair,椅子。
scene.workshop.guitar_stand,琴架。上面放着两把吉他。
scene.veranda.door_blocked,这个门无法打开。
scene.veranda.washer,洗衣机。
scene.veranda.lounge_chair,躺椅。
scene.veranda.dryflower.01,两个花艺纸袋。花已经枯萎很久了。
scene.veranda.dryflower.02,@以前和那个人一起做的。一直没舍得扔。
scene.veranda.dryflower.03,……？
scene.veranda.dryflower.04,仔细一看，其中一个纸袋的花泥里有一个闪闪发光的东西。
scene.veranda.dryflower.repeat,两个花艺纸袋。花已经枯萎很久了。
scene.veranda.window1.01,窗外能看到对面的楼房。
scene.veranda.window1.02,视线的远处有一片湖，湖的上方突兀地伫立着一座办公楼。
scene.veranda.window1.repeat,窗外能看到对面的楼房。
scene.veranda.window2.01,窗外能看到对面的楼房。
scene.veranda.window2.02,周围是一片荒地，远处是零星的几栋楼，再远处是雾蒙蒙的群山。
scene.veranda.window2.repeat,窗外能看到对面的楼房。
item.phone.name,手机
item.phone.inspect,手机。
item.delivery.name,外卖
item.delivery.inspect,已经吃腻了的外卖。（在餐桌使用）
item.meal.name,自己做的饭
